arabic market name ,price for 1kg,perfume code,compny tag
شاليز رجالي,54,,EMSA
شاليز نسائي,60,,EMSA
شانيل 5,32,,EMSA
شانيل بلاتينيوم,54,,EMSA
شانيل جنص,54,,EMSA
شوكلاته,34,,EMSA
شوكلاته فروت,40,,EMSA
شوكلاتا وايت,50,,EMSA
شوكلاتا بلاك,46,,EMSA
شو بارد عود ملكي,60,,EMSA
شوكلاتا بلاك,50,,EMSA
شو بارد عود ملكي,60,,EMSA
شيك رجالي,48,,EMSA
شيفون,62,,EMSA
شيفاز,65,,EMSA
شمس الامارات,54,,EMSA
شيخة ملكي,58,,EMSA
صحاري نوار توم فورد,60,,EMSA
صندل,44,,EMSA
صبايا,48,,EMSA
صبايا الخليج,68,,EMSA
صاحب السمو,68,,EMSA
صندل ملكي,56,,EMSA
طوكيو,65,,EMSA
عود (ماني),28,,EMSA
عطر العتبة,38,,EMSA
علاقة relation,70,,EMSA
عنبر,58,,EMSA
عنبر جامد,38,,EMSA
عنبر صافي,48,,EMSA
عود المثالي,104,,EMSA
عود كمبودي,100,,EMSA
عود مستكي,68,,EMSA
عود هندي,56,,EMSA
عود ورد,76,,EMSA
عود سويسري FR,92,,EMSA
عود الشيخة,64,,EMSA
عود بحريني,82,,EMSA
عود مبخر,54,,EMSA
عيد الحب,50,,EMSA
عرموط (ماني),18,,EMSA
غبار الذهب,52,,EMSA
غرام الليل,44,,EMSA
غلا زايد extra,65,,EMSA
غلا زايد رجالي,68,,EMSA
غلا زايد نسائي,54,,EMSA
فالنتينو,54,,EMSA
فراولة (ماني),18,,EMSA
فراوله,26,,EMSA
فل,34,,EMSA
فنتازيا منتصف الليل,50,,EMSA
فندي اسباني 04,48,,EMSA
فندي FR,48,,EMSA
فهرنهايت 32,46,,EMSA
فهرنهايت احمر,56,,EMSA
فوتو,54,,EMSA
فوياج,54,,EMSA
فيجي اصفر,34,,EMSA
فياكرا,54,,EMSA
فيرساجي عود نوار,60,,EMSA
فيرساجي فريش,50,,EMSA
فيرساجي رجالي,52,,EMSA
فرساشي كرستال,54,,EMSA
فانيلا خاص فكتوريا سكرت,45,,EMSA
فري سكسي ناو,60,,EMSA
قداح طبيعي,48,,EMSA
قاهر النساء,52,,EMSA
قصر الشوق,50,,EMSA
قمر الزمان,70,,EMSA
قشر الليمون,30,,EMSA
كابتن بلاك,؟,,EMSA
كارتير باشا,52,,EMSA
كارتير دكلريشن,52,,EMSA
كاردينيا,32,,EMSA
كاريزما,46,,EMSA
كارولينا هريرا,44,,EMSA
كارون رجالي,54,,EMSA
كازنوفا,48,,EMSA
كازنوفا 2 اخضر,60,,EMSA
كاسيليا,54,,EMSA
كالدون رجالي,54,,EMSA
كالدون نسائي,54,,EMSA
كرزة,42,,EMSA
كشمير اسود,58,,EMSA
كشمير اصفر,34,,EMSA
كلامور,؟,,EMSA
كلامور العراق,46,,EMSA
كلده,46,,EMSA
كلوي نرسيس,48,,EMSA
كن مختلفا رجالي,64,,EMSA
كن مختلفا نسائي,68,,EMSA
كنزو فلور,50,,EMSA
كوجي كلتي,50,,EMSA
كوجي كلتي بلاك,52,,EMSA
كوروم,46,,EMSA
كوكو ريكو,44,,EMSA
كوكو شانيل,42,,EMSA
كول وتر رجالي,48,,EMSA
كريد افنتوس W,64,,EMSA
كنزو فلور ,48,,EMSA
كوكو مزمزيل ,؟,,EMSA
كول وتر ازرق W,42,,EMSA
كول وتر M,58,,EMSA
كول وتر ايطالي,54,,EMSA
كلك فلور FR,52,,EMSA
كوبا,56,,EMSA
كوجي عود,55,,EMSA
كوبرا,38,,EMSA
كريستيانو رونالدو,54,,EMSA
كريد اخضر,64,,EMSA
كريد افنتوس W,64,,EMSA
كوكو مزمزيل,44,,EMSA
كود كيل,58,,EMSA
كلين بريز (م),28,,EMSA
كالكسي 7,55,,EMSA
كريب فروت (م),28,,EMSA
كلمات,54,,EMSA
لابيدوز,46,,EMSA
لافيست بيل الحياة حلوة,60,,EMSA
لاكوست احمر,48,,EMSA
ليبيدوز ENG,46,,EMSA
لاكوست اسنتشيال,48,,EMSA
لاكوست بلو,52,,EMSA
لاكوست بورهوم,50,,EMSA
لاكوست تج اوف بنك,50,,EMSA
لاكوست جالنج,44,,EMSA
لاكوست سبورت,52,,EMSA
لاكوست وايت,؟,,EMSA
لاكوست لايف,50,,EMSA
لاكوست احمر ,52,,EMSA
لاليك وايت,54,,EMSA
لانكوم ,48,,EMSA
لايف جاز YSL,48,,EMSA
لكزز,54,,EMSA
للرجال فقط,52,,EMSA
للشجعان فقط,54,,EMSA
لمستي,68,,EMSA
لندن,52,,EMSA
لوليتا,46,,EMSA
ليالي دبي,84,,EMSA
ليدي مليون,56,,EMSA
ليدي FR,60,,EMSA
 ليلة الاحلام عمان,52,,EMSA
ليلة الخميس,54,,EMSA
ليلي,48,,EMSA
ليلي لبنان ابيض,48,,EMSA
ليمون فا,24,,EMSA
ليمون (م),28,,EMSA
ليمون هامبورغ,24,,EMSA
ليلة اللقاء,58,,EMSA
ليلة الزفاف,50,,EMSA
لغة الجسد,88,,EMSA
لوماتي اخضر,58,,EMSA
لافندر فرش (م),30,,EMSA
ليدي اصفر,60,,EMSA
لانفين ,؟,,EMSA
ما اروعك,54,,EMSA
ما وراء الجنة,56,,EMSA
ماليزيا أخضر,50,,EMSA
مارسدس,52,,EMSA
مازلونا,44,,EMSA
مانافيستو,60,,EMSA
مانشستر,44,,EMSA
مثبت,38,,EMSA
مثيرة جديد,58,,EMSA
مخلط بدر,52,,EMSA
مخلط العروسة,70,,EMSA
مخلط ملكي,68,,EMSA
مخلط رومانتسي FR,64,,EMSA
مخور الامارات,50,,EMSA
مدام روش,46,,EMSA
مذهلة,50,,EMSA
مس ديور شيري,50,,EMSA
مس كاندي,52,,EMSA
ماربت مان,54,,EMSA
مسك الوزير,52,,EMSA
مسك ابيض,48,,EMSA
مسك الحرمين,30,,EMSA
مسك الحرمين اصفر,28,,EMSA
مسك الحضرة,36,,EMSA
ميسي,52,,EMSA
معلمتي ,?,,EMSA
مكياج (توسكا),38,,EMSA
مونتانا,52,,EMSA
مينت,34,,EMSA
موناليزا,50,,EMSA
ماليزيا FR,56,,EMSA
مسك الطهارة,?,,EMSA
ناركيسو رودريكز,58,,EMSA
ناركيس جورج قرداحي,60,,EMSA
ناركيسو باودر,60,,EMSA
نيزك,64,,EMSA
نرجس بري,40,,EMSA
نيودي (تدلل),56,,EMSA
نينارجي,52,,EMSA
نسيم (ماني),18,,EMSA
